k,t,x
1,0.916667,2.63729
1,0.920635,2.6396
1,0.924603,2.64085
1,0.928571,2.64737
1,0.93254,2.64893
1,0.936508,2.63992
1,0.940476,2.64182
1,0.944444,2.64722
1,0.948413,2.63809
1,0.952381,2.63595
1,0.956349,2.63084
1,0.960317,2.63559
1,0.964286,2.62751
1,0.968254,2.62557
1,0.972222,2.61634
1,0.97619,2.62461
1,0.980159,2.67071
1,0.984127,2.66737
1,0.988095,2.67264
1,0.992063,2.66457
1,0.996032,2.66083
1,1,2.65112
2,0,1
2,0.00396825,1.00849
2,0.00793651,1.00854
2,0.0119048,1.04874
2,0.015873,1.05479
2,0.0198413,1.05678
2,0.0238095,1.07509
2,0.0277778,1.09215
2,0.031746,1.09169
2,0.0357143,1.09117
2,0.0396825,1.10927
2,0.0436508,1.12988
2,0.047619,1.16572
2,0.0515873,1.17032
2,0.0555556,1.19265
2,0.0595238,1.21306
2,0.0634921,1.21479
2,0.0674603,1.21817
2,0.0714286,1.22063
2,0.0753968,1.22041
2,0.0793651,1.28695
2,0.0833333,1.3017
2,0.0873016,1.30573
2,0.0912698,1.32613
2,0.0952381,1.34247
2,0.0992063,1.35372
2,0.103175,1.35296
2,0.107143,1.35489
2,0.111111,1.40684
2,0.115079,1.41493
2,0.119048,1.43253
2,0.123016,1.4382
2,0.126984,1.44019
2,0.130952,1.47331
2,0.134921,1.47343
2,0.138889,1.5155
2,0.142857,1.51788
2,0.146825,1.56708
2,0.150794,1.57315
2,0.154762,1.57215
2,0.15873,1.57197
2,0.162698,1.58046
2,0.166667,1.60071
2,0.170635,1.61161
2,0.174603,1.6659
2,0.178571,1.68158
2,0.18254,1.70517
2,0.186508,1.70411
2,0.190476,1.73217
2,0.194444,1.76332
2,0.198413,1.77355
2,0.202381,1.78158
2,0.206349,1.78692
2,0.210317,1.78891
2,0.214286,1.78751
2,0.218254,1.78616
2,0.222222,1.82257
2,0.22619,1.82757
2,0.230159,1.87135
2,0.234127,1.87039
2,0.238095,1.87169
2,0.242063,1.87142
2,0.246032,1.87598
2,0.25,1.87973
2,0.253968,1.88499
2,0.257937,1.89166
2,0.261905,1.89004
2,0.265873,1.92694
2,0.269841,1.93746
2,0.27381,1.95722
2,0.277778,1.95854
2,0.281746,1.96952
2,0.285714,1.96782
2,0.289683,1.97852
2,0.293651,1.98233
2,0.297619,1.98532
2,0.301587,1.98624
2,0.305556,1.9971
2,0.309524,1.9996
2,0.313492,2.01005
2,0.31746,2.00843
2,0.321429,2.02777
2,0.325397,2.02578
2,0.329365,2.02498
2,0.333333,2.04261
2,0.337302,2.04444
2,0.34127,2.04259
2,0.345238,2.05278
2,0.349206,2.05329
2,0.353175,2.0594
2,0.357143,2.09344
2,0.361111,2.09155
2,0.365079,2.08939
2,0.369048,2.08715
2,0.373016,2.08954
2,0.376984,2.10588
2,0.380952,2.10362
2,0.384921,2.10132
2,0.388889,2.10174
2,0.392857,2.11674
2,0.396825,2.12019
2,0.400794,2.12677
2,0.404762,2.12472
2,0.40873,2.15439
2,0.412698,2.17832
2,0.416667,2.18894
2,0.420635,2.19402
2,0.424603,2.21217
2,0.428571,2.20954
2,0.43254,2.20984
2,0.436508,2.2102
2,0.440476,2.21488
2,0.444444,2.21214
2,0.448413,2.21969
2,0.452381,2.24455
2,0.456349,2.24354
2,0.460317,2.2427
2,0.464286,2.24062
2,0.468254,2.24984
2,0.472222,2.25746
2,0.47619,2.25486
2,0.480159,2.25199
2,0.484127,2.24926
2,0.488095,2.24624
2,0.492063,2.24576
2,0.496032,2.24458
2,0.5,2.24694
2,0.503968,2.25155
2,0.507937,2.24847
