k,ρ^2,θ3,Error
175,23.04,0.881097,0.961758
176,23.04,0.880567,0.961781
177,23.04,0.88003,0.961804
178,23.04,0.879482,0.961828
179,23.04,0.878933,0.961852
180,23.04,0.878394,0.961875
181,23.04,0.877869,0.961898
182,23.04,0.877349,0.961921
183,23.04,0.876823,0.961943
184,23.04,0.876296,0.961966
185,23.04,0.875769,0.961989
186,23.04,0.875259,0.962011
187,23.04,0.874733,0.962034
188,23.04,0.874215,0.962057
189,23.04,0.873689,0.962079
190,23.04,0.873166,0.962102
191,23.04,0.872666,0.962124
192,23.04,0.872155,0.962146
193,23.04,0.871652,0.962168
194,23.04,0.87114,0.96219
195,23.04,0.870624,0.962213
196,23.04,0.870122,0.962234
197,23.04,0.869606,0.962257
198,23.04,0.869109,0.962278
199,23.04,0.868593,0.962301
200,23.04,0.868085,0.962323
201,23.04,0.867599,0.962344
202,23.04,0.867107,0.962365
203,23.04,0.866614,0.962387
204,23.04,0.866123,0.962408
205,23.04,0.865643,0.962429
206,23.04,0.865145,0.96245
207,23.04,0.86465,0.962472
208,23.04,0.86416,0.962493
209,23.04,0.863664,0.962515
210,23.04,0.863185,0.962535
211,23.04,0.862699,0.962556
212,23.04,0.862234,0.962577
213,23.04,0.861742,0.962598
214,23.04,0.861281,0.962618
215,23.04,0.8608,0.962639
216,23.04,0.860343,0.962659
217,23.04,0.859852,0.96268
218,23.04,0.859379,0.962701
219,23.04,0.858907,0.962721
220,23.04,0.858429,0.962742
221,23.04,0.85795,0.962763
222,23.04,0.857495,0.962782
223,23.04,0.857026,0.962803
224,23.04,0.856568,0.962823
225,23.04,0.856108,0.962843
226,23.04,0.855651,0.962862
227,23.04,0.855192,0.962882
228,23.04,0.854742,0.962902
229,23.04,0.854276,0.962922
230,23.04,0.853817,0.962942
231,23.04,0.853367,0.962961
232,23.04,0.852909,0.962981
233,23.04,0.852445,0.963002
234,23.04,0.851999,0.963021
235,23.04,0.851563,0.96304
236,23.04,0.85111,0.963059
237,23.04,0.850656,0.963079
238,23.04,0.850212,0.963098
239,23.04,0.849758,0.963118
240,23.04,0.849298,0.963138
241,23.04,0.848844,0.963158
242,23.04,0.84842,0.963176
243,23.04,0.847993,0.963195
