k,mean,variance,std,μ
1.0,0.9873647283249043,0.025960904562115552,0.161123879552708,-0.012635271675095922
2.0,1.146728290945072,0.03843451441128336,0.19604722495175328,0.1467282909450721
3.0,1.381661838342689,0.07012654496752047,0.2648141706320122,0.3816618383426892
4.0,1.4480799929450978,0.06949227680415407,0.26361387824648774,0.4480799929450982
5.0,1.383650057554783,0.04606968589572506,0.21463850049728977,0.38365005755478293
6.0,1.4342351063650958,0.031873505132595195,0.17853152419837567,0.4342351063650958
7.0,1.422124486540809,0.038962994361991805,0.19739046167936233,0.4221244865408091
8.0,1.3361483297564967,0.05088304992572795,0.22557271538403742,0.33614832975649656
9.0,1.3993368295959057,0.047127793435123265,0.21708936739306986,0.3993368295959059
10.0,1.40829669480568,0.038893434441207374,0.1972141841785407,0.40829669480568037
11.0,1.346344253160667,0.05988078752045957,0.24470551183097525,0.3463442531606677
12.0,1.4223235973753712,0.06189258994375008,0.24878221388143903,0.4223235973753709
13.0,1.4108130237158252,0.07221702648863743,0.2687322579978768,0.4108130237158252
14.0,1.3646693067109665,0.062176132057857575,0.24935142281097492,0.36466930671096653
15.0,1.4133127684525704,0.0606857001679449,0.24634467757178133,0.4133127684525702
16.0,1.3939556007566207,0.09374008586830596,0.3061700277105941,0.39395560075662095
17.0,1.4266857115611133,0.06132005698545889,0.24762886945075466,0.4266857115611134
18.0,1.3825443739509595,0.06856075601099743,0.2618410892335224,0.38254437395095914
19.0,1.4216031549958839,0.061091621557640426,0.2471671935302912,0.42160315499588363
20.0,1.3647649810605957,0.04646206255214676,0.21555060322844555,0.3647649810605955
21.0,1.3775310246001262,0.06251641588702443,0.25003282961848117,0.37753102460012605
22.0,1.3769402571846536,0.060233645211801086,0.24542543717349488,0.37694025718465346
23.0,1.4425157165264983,0.07307660209095784,0.2703268430825134,0.4425157165264978
24.0,1.404872067070248,0.05423498885828578,0.23288406742043513,0.40487206707024753
25.0,1.3710289689165762,0.06392046261783013,0.2528249643880725,0.3710289689165765
26.0,1.394512421916262,0.0767874088692924,0.277105411115143,0.3945124219162621
27.0,1.3588985567129492,0.07674163772014346,0.27702281082998104,0.35889855671294923
28.0,1.4499531561709065,0.051239659785232976,0.22636178958744999,0.4499531561709062
29.0,1.4191174782595328,0.05644563447834597,0.23758290022294526,0.41911747825953327
30.0,1.3740217391326852,0.06430428060216037,0.2535828870451639,0.37402173913268527
31.0,1.416470901913435,0.07394264770990656,0.2719239741359827,0.4164709019134349
32.0,1.42434485509616,0.05928860693773577,0.24349251926442375,0.4243448550961599
33.0,1.4014250991251378,0.059980797637602494,0.24490977448358914,0.40142509912513846
34.0,1.3669246301700773,0.05198978185935278,0.22801267916357806,0.36692463017007726
35.0,1.3750218249485535,0.03994153500009349,0.19985378405247545,0.3750218249485539
36.0,1.3835235386185423,0.09762990586834408,0.31245784654628866,0.3835235386185423
37.0,1.3882834652241385,0.07124308926973094,0.26691401100303996,0.3882834652241385
38.0,1.4211587390997875,0.05753040910201344,0.23985497514542706,0.42115873909978774
39.0,1.458659620462398,0.05330386952353898,0.2308763078437001,0.4586596204623982
40.0,1.3716306820831283,0.058861585586391145,0.24261406716509895,0.37163068208312916
41.0,1.3886233996716177,0.046875176090981775,0.21650675761043067,0.3886233996716182
42.0,1.382610033418888,0.055012562139851964,0.23454756903419818,0.3826100334188882
43.0,1.3455848939963104,0.06564225301091577,0.2562074413652261,0.3455848939963106
44.0,1.401694345209749,0.05789131158612235,0.24060613372506187,0.4016943452097492
45.0,1.4022110047375156,0.04237337738464641,0.20584794724418898,0.4022110047375158
46.0,1.3829430637554792,0.08321425503322263,0.2884688111966745,0.38294306375547926
47.0,1.4043209149815947,0.07390484643570905,0.2718544581861939,0.404320914981595
48.0,1.3988377389813949,0.08319736358215223,0.28843953193373517,0.3988377389813943
49.0,1.4569634451403692,0.06856867703593135,0.26185621443061335,0.4569634451403691
50.0,1.3368723871571007,0.0657973089320132,0.2565098612763517,0.3368723871571006
51.0,1.4380755063663393,0.06703742564195427,0.2589158659525412,0.4380755063663394
52.0,1.398334163224501,0.040888264051901796,0.20220846681556584,0.3983341632245003
53.0,1.413379030672039,0.05703042726378417,0.23881044211630315,0.4133790306720391
54.0,1.4079708103473925,0.051076261615738416,0.2260005787951403,0.4079708103473924
55.0,1.3408719961156512,0.05454083870742987,0.2335398011205582,0.34087199611565133
56.0,1.4474025738630982,0.04378667852763215,0.20925266671570078,0.44740257386309834
57.0,1.4098266263800598,0.028682131139112776,0.16935799697419893,0.4098266263800599
58.0,1.3586828361995185,0.03869657603579645,0.19671445304246574,0.3586828361995184
59.0,1.45130740633933,0.0562280855380311,0.23712462026966138,0.45130740633933025
60.0,1.4140753539818132,0.031746525917572176,0.17817554803499883,0.4140753539818135
61.0,1.304462291171389,0.053847416615705135,0.23205046135637208,0.30446229117138945
62.0,1.4025330597000905,0.05567604798761244,0.23595772500092563,0.40253305970009023
63.0,1.3715553549115922,0.06105483900448671,0.24709277408391916,0.3715553549115919
64.0,1.4143523174772576,0.04800048894091103,0.2190901388490843,0.4143523174772576
65.0,1.473535816227371,0.039623595982146,0.19905676572813596,0.47353581622737073
66.0,1.3905642018201438,0.04869662610174336,0.22067312047855614,0.3905642018201436
67.0,1.358664289624744,0.04297893874331933,0.20731362411409274,0.35866428962474395
68.0,1.3985545017214052,0.045378873555771276,0.2130231761000931,0.3985545017214048
69.0,1.4049853300464556,0.04865859111641306,0.2205869241736986,0.4049853300464554
70.0,1.3643273158350848,0.04005080258971693,0.20012696617326944,0.36432731583508504
71.0,1.417343373595946,0.05148322717052223,0.22689915639006292,0.41734337359594564
72.0,1.415826095565452,0.05186546328750421,0.22773990271251152,0.41582609556545186
73.0,1.348778076176404,0.058740628682264685,0.24236466054741704,0.348778076176404
74.0,1.4168632634345764,0.05280662422259328,0.22979691952372486,0.4168632634345761
75.0,1.4056801624057158,0.06589641785285362,0.25670297593299074,0.40568016240571575
76.0,1.3716012949229626,0.054723253110746044,0.23393001754957837,0.3716012949229624
77.0,1.394584968450346,0.046702386262060525,0.21610734893117478,0.39458496845034574
78.0,1.4078306087228294,0.05948157119833031,0.2438884400670321,0.4078306087228299
79.0,1.4326118474031193,0.04415678916266958,0.21013516879063718,0.43261184740311975
80.0,1.3896817409128852,0.044642277717262986,0.2112871925064626,0.3896817409128851
81.0,1.3534480276207261,0.05170607018784847,0.2273896879540681,0.35344802762072647
82.0,1.420692498048455,0.060004380135230455,0.24495791502874623,0.42069249804845493
83.0,1.4436986603586097,0.045479474316239506,0.2132591717048519,0.44369866035861
84.0,1.4019229895120426,0.036966980369521646,0.19226799101650188,0.40192298951204264
85.0,1.4000174493518631,0.043177802951214476,0.207792692246899,0.4000174493518633
86.0,1.3968256090857147,0.036953143168535235,0.19223200349716807,0.39682560908571446
87.0,1.384225120865824,0.034412263772395396,0.18550542787852703,0.3842251208658239
88.0,1.411829276798057,0.04118597687616977,0.2029432848757745,0.4118292767980566
89.0,1.3942378785746312,0.046015567023213855,0.2145123936354584,0.39423787857463133
90.0,1.3976554304192128,0.04503699982874879,0.2122192258697331,0.397655430419213
91.0,1.3817168584162909,0.037560822662514114,0.19380614712261868,0.38171685841629094
92.0,1.4014951588343991,0.03613677275471534,0.19009674577623717,0.4014951588343989
93.0,1.4125739990675656,0.04900983825721425,0.22138165745430277,0.4125739990675654
94.0,1.4022636562935835,0.04267298251523006,0.2065743994671897,0.4022636562935837
95.0,1.4096631987385992,0.025581291795890405,0.15994152617719515,0.40966319873859935
96.0,1.3373982925475665,0.03661477082552997,0.19134986497390055,0.3373982925475661
97.0,1.3701114328338873,0.026919449430923923,0.1640714765915268,0.3701114328338868
98.0,1.37732961017748,0.06377586305074942,0.25253883473784666,0.3773296101774795
99.0,1.4209071336814387,0.043650766928505856,0.2089276595582927,0.4209071336814388
100.0,1.441471351505717,0.04860900471756019,0.22047449901873048,0.4414713515057176
101.0,1.4313092672584449,0.03126116688940775,0.17680827720841508,0.4313092672584451
102.0,1.379751368143369,0.03470990310153985,0.18630593952297886,0.3797513681433693
103.0,1.3984963891042383,0.047657890727573114,0.21830687283631983,0.3984963891042382
104.0,1.3973154256473466,0.03454622629511087,0.18586615155834824,0.3973154256473469
105.0,1.4087936214248822,0.04257238357160225,0.20633076254306398,0.4087936214248822
106.0,1.3556477959992632,0.043413674736486434,0.2083594843929271,0.35564779599926344
107.0,1.3838841586034443,0.054200574741925585,0.23281016889716305,0.38388415860344405
108.0,1.36248719292575,0.06091529667353331,0.24681024426375278,0.3624871929257499
109.0,1.4335715613628246,0.03469314772887916,0.1862609667345232,0.43357156136282504
110.0,1.4150652860105921,0.04377273549614256,0.20921934780546123,0.41506528601059267
111.0,1.3969761941696217,0.047081585866235745,0.21698291606998865,0.3969761941696223
112.0,1.4058418504174888,0.04942246972339643,0.22231164999476843,0.4058418504174893
113.0,1.3844778764234769,0.060012080147217976,0.2449736315345347,0.38447787642347686
114.0,1.4205788827258028,0.03759696723558226,0.19389937399481788,0.4205788827258024
115.0,1.3737764030860495,0.04409364808886079,0.2099848758574312,0.3737764030860496
116.0,1.4440344722182532,0.028496570917286013,0.16880927378934493,0.4440344722182531
117.0,1.4071926570427988,0.052773662628698294,0.22972518936481104,0.4071926570427987
118.0,1.3971881490472629,0.039043112983606194,0.1975933019705025,0.3971881490472625
119.0,1.359160667169534,0.05474922998530761,0.23398553370947447,0.3591606671695344
120.0,1.3711982613285543,0.04149704242173595,0.20370822865494645,0.3711982613285538
121.0,1.423635982617503,0.04017152800307824,0.2004283612742424,0.42363598261750285
122.0,1.3644210244364816,0.04843203774041204,0.22007280100096885,0.36442102443648194
123.0,1.416245525783822,0.0560724881372316,0.23679630093654672,0.41624552578382223
124.0,1.4225702917282235,0.038401658581660496,0.19596341133400513,0.42257029172822336
125.0,1.3820498829630194,0.03039310125457112,0.17433617310980276,0.38204988296301934
126.0,1.4346623660706994,0.04042023905193484,0.20104785264193906,0.43466236607069886
127.0,1.3815865635991682,0.0483446276076838,0.21987411763935244,0.381586563599168
128.0,1.4285647287814967,0.036313705623872344,0.1905615533728468,0.42856472878149676
129.0,1.4011910816151596,0.03583447489032518,0.18929996009065925,0.40119108161515954
130.0,1.3641376757527106,0.0535519280766526,0.23141289522550942,0.3641376757527106
131.0,1.3649749996364284,0.054085529678236516,0.23256295852572162,0.3649749996364284
132.0,1.3762733326238656,0.04729969615706364,0.21748493317253875,0.3762733326238657
133.0,1.4480888156033151,0.027017862352648674,0.16437111167309382,0.4480888156033155
134.0,1.4227648380435898,0.04576813930763644,0.21393489502097698,0.42276483804359005
135.0,1.4238546660044835,0.03326171315097622,0.18237794041762898,0.4238546660044836
136.0,1.3276274627199316,0.028598215572081764,0.1691100693988438,0.32762746271993154
137.0,1.405630147554691,0.032824678441735665,0.18117582190164244,0.40563014755469085
138.0,1.3730627264784827,0.0397303595036322,0.19932475888266415,0.37306272647848204
139.0,1.4017379335019848,0.04105607556002045,0.20262298872541695,0.4017379335019847
140.0,1.3672380028246667,0.04736752419814558,0.2176408146422577,0.36723800282466684
141.0,1.40418721073302,0.03136763034520513,0.1771090916503304,0.40418721073302016
142.0,1.4729656910347169,0.06147370385077646,0.24793891153019218,0.47296569103471653
143.0,1.3712033282310676,0.037184773406085246,0.1928335380738663,0.3712033282310678
144.0,1.3753582911276867,0.050080923729658895,0.2237876755535454,0.3753582911276865
145.0,1.3893876681950135,0.03280269940708433,0.181115155100517,0.3893876681950134
146.0,1.4353946102553585,0.04613816393617844,0.21479796073561416,0.4353946102553592
147.0,1.4073385105743594,0.05269964648438616,0.2295640356945882,0.4073385105743595
148.0,1.3523473846532859,0.052491163888955354,0.22910950196130092,0.35234738465328563
149.0,1.4314061072600595,0.04783133398429346,0.21870375850518314,0.4314061072600597
150.0,1.3860279660826285,0.03498624529541287,0.18704610473199612,0.3860279660826285
151.0,1.4292894131173504,0.03727447399567855,0.19306598352811546,0.4292894131173503
152.0,1.379292445340755,0.03872423068655187,0.19678473184307738,0.37929244534075474
153.0,1.380483095413113,0.04899306619511302,0.2213437737889029,0.3804830954131129
154.0,1.4132344186851191,0.049910765303552776,0.22340717379608196,0.4132344186851189
155.0,1.392200060723714,0.05011488954164042,0.22386355116820697,0.39220006072371405
156.0,1.4183913238347157,0.04649563304034041,0.21562846064548255,0.4183913238347157
157.0,1.307852386940671,0.04223215738785492,0.20550464079396097,0.30785238694067124
158.0,1.4380340107817753,0.0353775251485682,0.18808914149564349,0.43803401078177573
159.0,1.4369839862333378,0.034684984848558184,0.18623905296300822,0.4369839862333382
160.0,1.4153412808811419,0.04874775569425342,0.2207889392479918,0.41534128088114225
161.0,1.3680735864949014,0.04374728524320978,0.20915851702287858,0.36807358649490124
162.0,1.3770744667461832,0.050049693562387566,0.2237178883379413,0.3770744667461829
163.0,1.3896556527538388,0.038842284518961254,0.19708446036905408,0.38965565275383895
164.0,1.3803820440830987,0.031014581723514508,0.17610957306039474,0.38038204408309917
165.0,1.4391479151811302,0.04573222850953646,0.21385094928369258,0.4391479151811296
166.0,1.378009432213395,0.04146310501579185,0.20362491256177828,0.3780094322133947
167.0,1.4319531066518,0.05133823380525631,0.22657942052458407,0.43195310665179987
168.0,1.3767485070298389,0.06216257114710299,0.24932422896121226,0.3767485070298387
169.0,1.399889497773148,0.049856551833183944,0.2232858075050538,0.3998894977731479
170.0,1.4097454305196888,0.03652727875097669,0.19112111016571845,0.4097454305196889
171.0,1.4402757161368813,0.04008033115363622,0.20020072715561305,0.44027571613688166
172.0,1.3767442014214768,0.032242407569123235,0.1795617096407896,0.3767442014214764
173.0,1.3831228798424713,0.03049585692470999,0.1746306299728372,0.38312287984247134
174.0,1.330324692584523,0.05634369454960446,0.2373682677815307,0.3303246925845233
175.0,1.4119739699391283,0.02716018399314937,0.1648034708164527,0.411973969939128
176.0,1.4373046038293833,0.04357125785037474,0.20873729386569795,0.43730460382938363
177.0,1.4179221090238596,0.03362046211407038,0.18335883429513392,0.4179221090238599
178.0,1.4380684769142809,0.030115201808762027,0.17353732108328176,0.43806847691428097
179.0,1.3686885970323104,0.029146847112568743,0.17072447719225484,0.36868859703231105
180.0,1.4103786965263947,0.03577833270831926,0.1891516130206646,0.41037869652639464
181.0,1.3726592685806909,0.04328703919170866,0.2080553753011651,0.3726592685806911
182.0,1.3967469393371927,0.026938966589536765,0.16413094342486662,0.3967469393371931
183.0,1.4051018105630246,0.045263645091964615,0.2127525442667246,0.4051018105630244
184.0,1.381834769625664,0.026774492803440193,0.16362913189111586,0.38183476962566376
185.0,1.4027529779317252,0.053042425951245926,0.23030941350983883,0.402752977931725
186.0,1.406247669080752,0.03954991804135156,0.1988716119544254,0.4062476690807515
187.0,1.382625887839141,0.041511287988365723,0.20374319126872859,0.38262588783914125
188.0,1.386467556542164,0.0301956875732099,0.17376906391302768,0.38646755654216386
189.0,1.390397603090417,0.02603268783222359,0.16134648379256236,0.3903976030904174
190.0,1.4377888004422783,0.04898997457045253,0.22133678991630049,0.4377888004422782
191.0,1.4049012713881674,0.030831700035044325,0.17558957837822928,0.4049012713881675
192.0,1.4041696044775223,0.03894510432653426,0.19734514011379722,0.4041696044775225
193.0,1.3885738976878952,0.0279881614777184,0.16729662721560887,0.3885738976878953
194.0,1.3738459500483875,0.03149967716816958,0.1774814840150081,0.3738459500483877
195.0,1.403449619519697,0.04816126348930239,0.2194567462834132,0.4034496195196972
196.0,1.40608787288108,0.03175569198950543,0.1782012682039761,0.40608787288108006
197.0,1.3509432939266228,0.01777675425043144,0.133329495050538,0.3509432939266228
198.0,1.3936946170123528,0.024566118948901247,0.15673582535241024,0.3936946170123526
199.0,1.4414905236445283,0.03405619553243293,0.18454320776564206,0.44149052364452823
200.0,1.4059152769809549,0.036523379394954224,0.19111090862364247,0.4059152769809548
201.0,1.3818807284394938,0.02835611650781447,0.16839274481940864,0.38188072843949383
202.0,1.3972939009115726,0.021909360154061325,0.14801810752087505,0.3972939009115724
203.0,1.4216170463777151,0.04008954482993159,0.20022373692929515,0.421617046377715
