k,t,u,x
5,0.619048,nan,nan
5,0.623016,nan,nan
5,0.626984,nan,nan
5,0.630952,nan,nan
5,0.634921,nan,nan
5,0.638889,nan,nan
5,0.642857,nan,nan
5,0.646825,nan,nan
5,0.650794,nan,nan
5,0.654762,nan,nan
5,0.65873,nan,nan
5,0.662698,nan,nan
5,0.666667,nan,nan
5,0.670635,nan,nan
5,0.674603,nan,nan
5,0.678571,nan,nan
5,0.68254,nan,nan
5,0.686508,nan,nan
5,0.690476,nan,nan
5,0.694444,nan,nan
5,0.698413,nan,nan
5,0.702381,nan,nan
5,0.706349,nan,nan
5,0.710317,nan,nan
5,0.714286,nan,nan
5,0.718254,nan,nan
5,0.722222,nan,nan
5,0.72619,nan,nan
5,0.730159,nan,nan
5,0.734127,nan,nan
5,0.738095,nan,nan
5,0.742063,nan,nan
5,0.746032,nan,nan
5,0.75,nan,nan
5,0.753968,nan,nan
5,0.757937,nan,nan
5,0.761905,nan,nan
5,0.765873,nan,nan
5,0.769841,nan,nan
5,0.77381,nan,nan
5,0.777778,nan,nan
5,0.781746,nan,nan
5,0.785714,nan,nan
5,0.789683,nan,nan
5,0.793651,nan,nan
5,0.797619,nan,nan
5,0.801587,nan,nan
5,0.805556,nan,nan
5,0.809524,nan,nan
5,0.813492,nan,nan
5,0.81746,nan,nan
5,0.821429,nan,nan
5,0.825397,nan,nan
5,0.829365,nan,nan
5,0.833333,nan,nan
5,0.837302,nan,nan
5,0.84127,nan,nan
5,0.845238,nan,nan
5,0.849206,nan,nan
5,0.853175,nan,nan
5,0.857143,nan,nan
5,0.861111,nan,nan
5,0.865079,nan,nan
5,0.869048,nan,nan
5,0.873016,nan,nan
5,0.876984,nan,nan
5,0.880952,nan,nan
5,0.884921,nan,nan
5,0.888889,nan,nan
5,0.892857,nan,nan
5,0.896825,nan,nan
5,0.900794,nan,nan
5,0.904762,nan,nan
5,0.90873,nan,nan
5,0.912698,nan,nan
5,0.916667,nan,nan
5,0.920635,nan,nan
5,0.924603,nan,nan
5,0.928571,nan,nan
5,0.93254,nan,nan
5,0.936508,nan,nan
5,0.940476,nan,nan
5,0.944444,nan,nan
5,0.948413,nan,nan
5,0.952381,nan,nan
5,0.956349,nan,nan
5,0.960317,nan,nan
5,0.964286,nan,nan
5,0.968254,nan,nan
5,0.972222,nan,nan
5,0.97619,nan,nan
5,0.980159,nan,nan
5,0.984127,nan,nan
5,0.988095,nan,nan
5,0.992063,nan,nan
5,0.996032,nan,nan
5,1,nan,nan
