k,mean,variance,std,μ
0.4,0.9898326395954606,0.038876185424402146,0.19717044764467656,-0.01016736040453936
0.8,1.0556251632462863,0.029809621389174396,0.17265463037281797,0.05562516324628647
1.2,1.1969564400837647,0.02737473273110398,0.16545311339199387,0.1969564400837645
1.6,1.2863056691908585,0.03128046221667855,0.17686283446976234,0.28630566919085865
2.0,1.358107399065614,0.026142720417811453,0.1616871065292822,0.3581073990656142
2.4,1.3396564542802676,0.05098537898902462,0.22579942202987283,0.33965645428026725
2.8,1.3312864150743349,0.040033263473639114,0.2000831414028656,0.331286415074335
3.2,1.3029285362969298,0.05337775887367473,0.23103627177063502,0.3029285362969298
3.6,1.4247775688802915,0.05115151078698793,0.22616699756372044,0.42477756888029194
4.0,1.4384206071676426,0.07848434348186109,0.28015057287441175,0.4384206071676425
4.4,1.3072876612558075,0.07072621320445799,0.2659440038888976,0.30728766125580764
4.8,1.4563673632228515,0.021850725298410315,0.1478199083290553,0.45636736322285143
5.2,1.442447900176738,0.04983902760632682,0.22324656236172333,0.4424479001767381
5.6,1.4026557953379668,0.05615000786161118,0.23695992880993863,0.40265579533796714
6.0,1.3088391256786671,0.05253058124929331,0.2291955087895339,0.30883912567866717
6.4,1.359608961816844,0.054429937876483474,0.23330224575962288,0.3596089618168442
6.8,1.4291650177607735,0.08384104276485708,0.28955317778407663,0.42916501776077365
7.2,1.4342765951736367,0.05483171388238103,0.23416172591262865,0.4342765951736367
7.6,1.338537395956397,0.04981820966446544,0.22319993204404306,0.338537395956397
8.0,1.3635326298780064,0.03595257461336442,0.18961164155548157,0.3635326298780063
8.4,1.4383106043451552,0.06777917375379064,0.26034433689594755,0.43831060434515534
8.8,1.5005988806726513,0.03541475115214072,0.1881880738839226,0.5005988806726513
9.2,1.4430465884301928,0.044225652766037314,0.210298960449255,0.44304658843019296
9.6,1.3308760263066284,0.10282526737723839,0.3206637918088639,0.3308760263066284
10.0,1.3725838871677358,0.08447126822714758,0.29063941272158456,0.3725838871677358
10.4,1.4509422116941117,0.04254076095962569,0.20625411743678157,0.4509422116941115
10.8,1.4955307636420205,0.03171300344269241,0.17808145170874032,0.4955307636420203
11.2,1.4100294361843744,0.033827380191322066,0.18392221233804815,0.41002943618437426
11.6,1.413245747033335,0.041110819311971636,0.2027580314364184,0.4132457470333352
12.0,1.3491455774188243,0.03719638848340124,0.1928636525719692,0.3491455774188244
12.4,1.4244529284438783,0.03146694989536121,0.17738926093583346,0.42445292844387816
12.8,1.307666944300195,0.06161902877478625,0.24823180451905483,0.307666944300195
13.2,1.415360101960101,0.028362717157206868,0.16841234265102684,0.415360101960101
13.6,1.3806905135812197,0.03243348668336053,0.18009299454270988,0.3806905135812196
14.0,1.327622611851894,0.05605253542329982,0.23675416664401033,0.32762261185189356
14.4,1.3958360302907864,0.08727721109875627,0.2954271671643559,0.3958360302907863
14.8,1.4131349563705784,0.05677234423891515,0.2382694781941555,0.41313495637057834
15.2,1.4104683353370975,0.05937392972843197,0.24366766245940796,0.4104683353370973
15.6,1.3678643925190637,0.031086334932395515,0.1763131728839213,0.367864392519064
16.0,1.4246094639977145,0.06578189021975316,0.25647980470156545,0.4246094639977144
16.4,1.3402128829872768,0.07594679003484683,0.275584451729133,0.3402128829872771
16.8,1.4704029118119402,0.08164225306819164,0.28573108523258656,0.4704029118119399
17.2,1.4164189030471908,0.0396340697274022,0.1990830724280751,0.416418903047191
17.6,1.370578516040673,0.04692490780314916,0.21662157741819987,0.37057851604067316
18.0,1.3746598199988163,0.04863116936406732,0.22052475907268854,0.37465981999881637
18.4,1.3152466801996066,0.041205617099840754,0.20299166756258927,0.31524668019960644
18.8,1.4456478633102408,0.04719953631007631,0.2172545426684476,0.44564786331024103
19.2,1.3538504231298782,0.08530753793833123,0.29207454174975817,0.35385042312987836
19.6,1.3302016289909526,0.09105091167686037,0.30174643606322904,0.3302016289909523
20.0,1.3876941408117445,0.08638985820794404,0.29392151708907605,0.3876941408117445
20.4,1.4136851877924694,0.041583897830207744,0.20392130303185035,0.41368518779246966
20.8,1.4056588806770614,0.05416893843482904,0.23274221455255822,0.4056588806770615
21.2,1.3034218616194284,0.0911246886049341,0.30186866118385675,0.3034218616194285
21.6,1.4679619712736318,0.07278249160850578,0.2697823041055617,0.46796197127363187
22.0,1.412225588307021,0.041394841350734915,0.2034572224098592,0.41222558830702116
22.4,1.5118534185088714,0.05956069185439639,0.2440505928171378,0.5118534185088711
22.8,1.4096274405595959,0.07522612248531063,0.2742738093316798,0.4096274405595956
23.2,1.3359081255258336,0.12042363066444033,0.3470210810086908,0.33590812552583355
23.6,1.431729993557623,0.07684051483643387,0.27720121723476226,0.4317299935576231
24.0,1.4306019097623264,0.10963654057988198,0.33111408997486347,0.43060190976232643
24.4,1.4238159262421999,0.07185134382189315,0.2680510097386189,0.42381592624219977
24.8,1.3049780640187865,0.08882079990206786,0.2980281864221367,0.3049780640187865
25.2,1.4249282656505893,0.08420169089185543,0.2901752761553876,0.4249282656505895
25.6,1.347009499750997,0.05010598562165229,0.22384366334933917,0.34700949975099665
26.0,1.4111783650007237,0.04058636848211918,0.20146058791267135,0.4111783650007238
26.4,1.3545667285513106,0.05653262285703022,0.23776589927285666,0.35456672855131066
26.8,1.415120061385669,0.07921649527680387,0.2814542507705362,0.41512006138566876
27.2,1.3843803373333858,0.053649818622463895,0.23162430490443764,0.38438033733338617
27.6,1.3759364759896826,0.07288856775625935,0.26997882834818615,0.3759364759896827
28.0,1.5456939762534483,0.032633640664235714,0.18064783603529747,0.5456939762534482
28.4,1.386206333632925,0.060441933949351545,0.24584941315641073,0.38620633363292495
28.8,1.3218599118415715,0.04687949358940822,0.21651672819763423,0.32185991184157114
29.2,1.398315528771448,0.05564392738020298,0.23588965085438357,0.39831552877144816
29.6,1.3821569455605496,0.06112171186029882,0.2472280563777073,0.3821569455605494
30.0,1.5391128598869779,0.055143141465235246,0.23482576831607566,0.539112859886978
30.4,1.3603459030540659,0.04445468465810069,0.21084279607826464,0.36034590305406594
30.8,1.4080659338123986,0.05979100195411335,0.24452198664764963,0.4080659338123989
31.2,1.3748623737734065,0.06318481077734517,0.2513658902423819,0.37486237377340653
31.6,1.396654100772544,0.04790289533515029,0.21886730074442434,0.39665410077254376
32.0,1.426647028992503,0.052224042856643005,0.22852580348101395,0.4266470289925032
32.4,1.4016371996031853,0.08046511574754008,0.2836637371035291,0.40163719960318556
32.8,1.243254187216877,0.05496222001780743,0.23444022696160194,0.2432541872168772
33.2,1.4656870903980097,0.056432037186716084,0.23755428261076686,0.46568709039800993
33.6,1.4249899605988416,0.04003243847146243,0.20008107974384393,0.4249899605988416
34.0,1.3145693225065207,0.027438346414718012,0.1656452426564615,0.3145693225065208
34.4,1.310249342733193,0.0741998488892711,0.2723964920649146,0.3102493427331928
34.8,1.406941081124495,0.05949013405986867,0.2439059943090138,0.40694108112449473
35.2,1.4543131583106113,0.05466529684930534,0.23380610952091338,0.454313158310611
35.6,1.5207623948950322,0.04395180283464096,0.2096468526704872,0.5207623948950322
36.0,1.452363153118252,0.04700685534319333,0.2168106439803944,0.45236315311825204
36.4,1.4222654625344981,0.04068875445745689,0.20171453705039924,0.4222654625344983
36.8,1.3352836154429613,0.06222258882091591,0.24944456061601325,0.33528361544296137
37.2,1.3235908850075633,0.07351791702243211,0.27114187618741614,0.3235908850075636
37.6,1.3837442979521546,0.05192691371593642,0.22787477639250997,0.38374429795215453
38.0,1.4273217041410564,0.05761631398008924,0.24003398505230306,0.42732170414105636
38.4,1.481655472888955,0.06774834859718039,0.26028512941998894,0.48165547288895516
38.8,1.3657890885912722,0.044799684710779226,0.21165936008308073,0.3657890885912721
39.2,1.4962347428132905,0.06896269081274135,0.262607484304506,0.49623474281328994
39.6,1.3966273110015406,0.03473558488484726,0.1863748504623069,0.3966273110015406
40.0,1.4164742037822777,0.024867830265279812,0.15769537173068782,0.41647420378227773
40.4,1.3186824443754441,0.03879344854085641,0.19696052533656688,0.3186824443754438
40.8,1.3185662337244852,0.025825269091266298,0.16070242403668433,0.3185662337244849
41.2,1.4831962026672032,0.0705471129208333,0.26560706489254626,0.4831962026672031
41.6,1.3792682400040297,0.052136018436678304,0.22833313039652897,0.37926824000402964
42.0,1.3160562632617332,0.06434000622773775,0.253653318976389,0.31605626326173286
42.4,1.2947071931575542,0.05273292193023612,0.22963649956014423,0.29470719315755445
42.8,1.4004646618462955,0.06268295328767497,0.2503656391913135,0.40046466184629537
43.2,1.3944985073713119,0.05190032309246182,0.22781642410603722,0.3944985073713119
43.6,1.5144572737978512,0.042510080235169605,0.20617972799276268,0.5144572737978514
44.0,1.5252161608528145,0.03034576208408495,0.17420035041320941,0.5252161608528141
44.4,1.28244330062694,0.029384322889452894,0.17141856051621976,0.2824433006269399
44.8,1.3299082263375432,0.02318129953307765,0.1522540624518034,0.3299082263375433
45.2,1.3080432818254135,0.0510602333594154,0.22596511535946295,0.3080432818254135
45.6,1.329104068413026,0.07588601254109376,0.27547415947978454,0.3291040684130257
46.0,1.5016321042686487,0.04600466516924037,0.21448698135141064,0.5016321042686486
46.4,1.3553715171882623,0.07480604567241804,0.27350693898403755,0.3553715171882625
46.8,1.3775488063335222,0.05090809519459976,0.22562822339991015,0.3775488063335223
47.2,1.4271787547017838,0.08506726775355301,0.29166293517269726,0.4271787547017839
47.6,1.4190637536193644,0.024624264213425645,0.15692120383627461,0.41906375361936465
48.0,1.4653297633047835,0.038222719744839165,0.1955063163809271,0.46532976330478376
48.4,1.5119619565707314,0.048743687945557446,0.22077972720690967,0.5119619565707317
48.8,1.4000161137265565,0.07397550180057405,0.2719843778612552,0.40001611372655643
49.2,1.3637611116924084,0.04479159723234474,0.21164025428151598,0.36376111169240855
49.6,1.4148738176774853,0.06001857896835595,0.24498689550332267,0.4148738176774853
