k,mean,variance,std,μ
0.4,0.958454722332379,0.007873931222156993,0.08873517466121872,-0.04154527766762104
0.8,1.0856272890441439,0.01704602549640409,0.13056042852412858,0.08562728904414406
1.2,1.1904673586731893,0.007855532948196247,0.08863144446637575,0.19046735867318954
1.6,1.2691613435696327,0.013471466124211654,0.1160666451837549,0.2691613435696326
2.0,1.2929642829849646,0.00932547243409897,0.09656848571919811,0.29296428298496446
2.4,1.3317811071250953,0.01291484939140667,0.11364351891509991,0.33178110712509534
2.8,1.3600449357537496,0.009072106676130157,0.09524760719372512,0.36004493575374974
3.2,1.3626019757551322,0.006936278568201995,0.08328432366419262,0.3626019757551318
3.6,1.3559374459068496,0.011405716689926838,0.1067975500183728,0.3559374459068495
4.0,1.3501728615880835,0.011334417320062112,0.10646322050390036,0.35017286158808325
4.4,1.4137425964528976,0.01701754855360834,0.13045132637734405,0.4137425964528975
4.8,1.4105435517801157,0.013104412513933471,0.11447450595627601,0.4105435517801153
5.2,1.3934620133088778,0.003930013802046919,0.06268982215676576,0.39346201330887787
5.6,1.377693532623279,0.019371688766956153,0.13918221426229774,0.377693532623279
6.0,1.3630599975356887,0.0163192211394627,0.12774670696132523,0.3630599975356888
6.4,1.3849547870250656,0.011630303261798968,0.10784388374775349,0.38495478702506547
6.8,1.4264161533928867,0.010376598568838288,0.10186559070087547,0.4264161533928867
7.2,1.4347611882757003,0.009156049439428526,0.09568724805024192,0.4347611882757002
7.6,1.3896909786624072,0.009670040160035802,0.09833636234901005,0.38969097866240676
8.0,1.3863753722470655,0.009530171685446709,0.09762259823138651,0.38637537224706586
8.4,1.4303045142090876,0.015518248993453788,0.12457226414195813,0.4303045142090872
8.8,1.3862674676687439,0.012501740756857739,0.11181118350530836,0.38626746766874404
9.2,1.3972474820513432,0.016119173898867144,0.126961308668693,0.3972474820513434
9.6,1.375456525553925,0.008018095660833956,0.08954381978022803,0.37545652555392495
10.0,1.413454399392752,0.007869880244940891,0.08871234550467534,0.41345439939275214
10.4,1.3964231930301148,0.012122925797129378,0.11010415885482881,0.39642319303011464
10.8,1.4299654662392054,0.00911760164719508,0.09548613327177449,0.42996546623920534
11.2,1.341975728854038,0.012663524952194735,0.11253232847584171,0.3419757288540379
11.6,1.348075365870922,0.010132329649283095,0.10065947371848859,0.3480753658709219
12.0,1.4499745641654855,0.013394482867316856,0.11573453619087458,0.44997456416548526
12.4,1.3770248655602624,0.011433745302271389,0.10692869260526564,0.37702486556026227
12.8,1.3721466761907135,0.012504138914589518,0.11182190713178486,0.3721466761907136
13.2,1.4113557637855358,0.007172426040126087,0.08469017676286954,0.4113557637855356
13.6,1.4116969538199413,0.003178700226039928,0.05637996298366937,0.4116969538199412
14.0,1.4003941900929946,0.006412833678229403,0.08008017031843404,0.4003941900929943
14.4,1.3997801554364555,0.018058888313649067,0.13438336323239222,0.3997801554364556
14.8,1.3979994927817978,0.01839715225624083,0.1356361023335632,0.39799949278179786
15.2,1.4108439249513665,0.009061190440197224,0.09519028542974974,0.41084392495136673
15.6,1.4190963606235858,0.01363606472918832,0.11677356177315275,0.4190963606235857
16.0,1.389539608220044,0.01004489730872909,0.10022423513666288,0.38953960822004396
16.4,1.3800500991573135,0.006020679237066852,0.07759303600882525,0.38005009915731336
16.8,1.4121430700550541,0.01666860591114184,0.1291069553166747,0.412143070055054
17.2,1.4349779723630216,0.012331419179418355,0.11104692332261329,0.43497797236302205
17.6,1.4141951396902068,0.007954681075663904,0.08918901880648707,0.4141951396902068
18.0,1.3759924143935653,0.016946943837140925,0.1301804280110529,0.37599241439356496
18.4,1.4214437338715684,0.012954457827314261,0.1138176516508501,0.4214437338715683
18.8,1.363793550143947,0.008642565734445228,0.09296540073836733,0.363793550143947
19.2,1.3860975156796125,0.01856757739816275,0.13626289809835526,0.38609751567961265
19.6,1.4016061337181345,0.010911838654126016,0.10445974657314662,0.4016061337181346
20.0,1.4022113644623766,0.0050931808170646365,0.0713665244849757,0.40221136446237643
