k,mean,variance,std,μ
0.4,0.9640898067852467,0.030478205673288336,0.17458008383916057,-0.03591019321475326
0.8,1.0660213713990654,0.05937001320313301,0.2436596257140953,0.06602137139906537
1.2,1.134640508973446,0.025004285599715667,0.15812743468391458,0.13464050897344576
1.6,1.159512858896654,0.07356588488489363,0.2712303170460368,0.15951285889665365
2.0,1.1266760211851605,0.042354074160233714,0.20580105480836028,0.1266760211851606
2.4,1.2245013133703875,0.0637183658502636,0.2524249707344018,0.22450131337038756
2.8,1.4663135999366834,0.0859897184847979,0.2932400356104158,0.4663135999366837
3.2,1.4616737387129788,0.13061796818902222,0.3614110792283798,0.46167373871297884
3.6,1.2893559601621747,0.10621294238095251,0.32590327151004866,0.2893559601621748
4.0,1.3261469873087721,0.20374820013897935,0.4513847584256466,0.32614698730877223
4.4,1.3493325110146017,0.059791746196066795,0.2445235084732484,0.3493325110146019
4.8,1.4033762594422037,0.16817165142440543,0.4100873704765918,0.4033762594422036
5.2,1.3330902813434606,0.14375039743424814,0.37914429632298063,0.3330902813434605
5.6,1.3564469834937551,0.22831697349767324,0.4778252541438902,0.35644698349375503
6.0,1.5200711216201177,0.21786588475464283,0.46676105745300006,0.5200711216201178
6.4,1.429428959985723,0.3255070858696959,0.5705322829338371,0.42942895998572295
6.8,1.511052398160546,0.1318725943354976,0.3631426638877586,0.5110523981605459
7.2,1.480890550995177,0.2876324611791709,0.5363137712003775,0.4808905509951768
7.6,1.6273845504147058,0.22806052551373027,0.4775568296168847,0.6273845504147059
8.0,1.4678162151266398,0.2829674485114016,0.5319468474494435,0.4678162151266399
8.4,1.3777812895155368,0.14161190514543723,0.3763135728955803,0.3777812895155366
8.8,1.2888077000108782,0.2120589667967772,0.4604986067262063,0.2888077000108779
9.2,1.2765671785262318,0.2699573391835977,0.5195741902592907,0.27656717852623186
9.6,1.3738944930769657,0.08365923053649336,0.2892390543071481,0.3738944930769657
10.0,1.379999341765806,0.2127902136089098,0.4612918963182746,0.379999341765806
10.4,1.3520320172783016,0.1492205079407961,0.3862907039274905,0.35203201727830175
10.8,1.3013424018286783,0.23699492079621787,0.48682124111034625,0.30134240182867866
11.2,1.3454870683996354,0.1582301467811219,0.3977815314731466,0.3454870683996356
